"id","code","name","reconcile","account_type",parent_id/id
ec201120101,2.01.12.01.01,JUBILACION PATRONAL,FALSE,liability_current,ec2011201
ec2011202,2.01.12.02.,OTROS BENEFICIOS A LARGO PLAZO PARA LOS EMPLEADOS,FALSE,view,ec20112
ec201120201,2.01.12.02.01,OTROS BENEFICIOS A LARGO PLAZO PARA LOS EMPLEADOS,TRUE,liability_payable,ec2011202
ec20113,2.01.13.,OTROS PASIVOS CORRIENTES,FALSE,view,ec201
ec2011301,2.01.13.01,OTROS PASIVOS CORRIENTES,FALSE,liability_current,ec20113
ec202,2.02.,PASIVO NO CORRIENTE,FALSE,view,ec2
ec20201,2.02.01.,PASIVOS POR CONTRATOS DE ARRENDAMIENTO FINANCIERO,FALSE,view,ec202
ec2020101,2.02.01.01,PASIVOS POR CONTRATOS DE ARRENDAMIENTO FINANCIERO,TRUE,liability_payable,ec20201
ec20202,2.02.02.,CUENTAS Y DOCUMENTOS POR PAGAR,FALSE,view,ec202
ec2020201,2.02.02.01.,LOCALES,FALSE,view,ec20202
ec202020101,2.02.02.01.01,LOCALES,FALSE,asset_current,ec2020201
ec2020202,2.02.02.02.,DEL EXTERIOR,FALSE,view,ec20202
ec202020201,2.02.02.02.01,DEL EXTERIOR,FALSE,asset_current,ec2020202
ec20203,2.02.03.,OBLIGACIONES CON INSTITUCIONES FINANCIERAS,FALSE,view,ec202
ec2020301,2.02.03.01.,LOCALES,FALSE,view,ec20203
ec202030101,2.02.03.01.01,LOCALES,FALSE,asset_current,ec2020301
ec2020302,2.02.03.02.,DEL EXTERIOR,FALSE,view,ec20203
ec202030201,2.02.03.02.01,DEL EXTERIOR,FALSE,asset_current,ec2020302
ec20204,2.02.04.,CUENTAS POR PAGAR DIVERSAS/RELACIONADAS,FALSE,view,ec202
ec2020401,2.02.04.01.,LOCALES,FALSE,view,ec20204
ec202040101,2.02.04.01.01,LOCALES,FALSE,asset_current,ec2020401
ec2020402,2.02.04.02.,DEL EXTERIOR,FALSE,view,ec20204
ec202040201,2.02.04.02.01,DEL EXTERIOR,FALSE,asset_current,ec2020402
ec20205,2.02.05.,OBLIGACIONES EMITIDAS,FALSE,view,ec202
ec2020501,2.02.05.01,OBLIGACIONES EMITIDAS,FALSE,liability_current,ec20205
ec20206,2.02.06.,ANTICIPOS DE CLIENTES,FALSE,view,ec202
ec2020601,2.02.06.01,ANTICIPOS DE CLIENTES,TRUE,liability_payable,ec20206
ec20207,2.02.07.,PROVISIONES POR BENEFICIOS A EMPLEADOS,FALSE,view,ec202
ec2020701,2.02.07.01.,JUBILACION PATRONAL,FALSE,view,ec20207
ec202070101,2.02.07.01.01,JUBILACION PATRONAL,TRUE,liability_payable,ec2020701
ec2020702,2.02.07.02.,OTROS BENEFICIOS NO CORRIENTES PARA LOS EMPLEADOS,FALSE,view,ec20207
ec202070201,2.02.07.02.01,OTROS BENEFICIOS NO CORRIENTES PARA LOS EMPLEADOS,TRUE,liability_payable,ec2020702
ec20208,2.02.08.,OTRAS PROVISIONES,FALSE,view,ec202
ec2020801,2.02.08.01,OTRAS PROVISIONES,TRUE,liability_payable,ec20208
ec20209,2.02.09.,PASIVO DIFERIDO,FALSE,view,ec202
ec2020901,2.02.09.01.,INGRESOS DIFERIDOS,FALSE,view,ec20209
ec202090101,2.02.09.01.01,INGRESOS DIFERIDOS,TRUE,liability_payable,ec2020901
ec2020902,2.02.09.02.,PASIVOS POR IMPUESTOS DIFERIDOS,FALSE,view,ec20209
ec202090201,2.02.09.02.01,PASIVOS POR IMPUESTOS DIFERIDOS,TRUE,liability_payable,ec2020902
ec20210,2.02.10.,OTROS PASIVOS NO CORRIENTES,FALSE,view,ec202
ec2021001,2.02.10.01,OTROS PASIVOS NO CORRIENTES,FALSE,liability_non_current,ec20210
ec3,3,PATRIMONIO NETO,FALSE,view,ecpuc
ec301,3.01.,CAPITAL,FALSE,view,ec3
ec30101,3.01.01.,CAPITAL SUSCRITO O  ASIGNADO,FALSE,view,ec301
ec3010101,3.01.01.01,CAPITAL SUSCRITO O  ASIGNADO,FALSE,equity,ec30101
ec30102,3.01.02.,"CAPITAL SUSCRITO NO PAGADO, ACCIONES EN TESORERÍA",FALSE,view,ec301
ec3010201,3.01.02.01,"CAPITAL SUSCRITO NO PAGADO, ACCIONES EN TESORERÍA",FALSE,equity,ec30102
ec302,3.02.,APORTES DE SOCIOS O ACCIONISTAS PARA FUTURA CAPITALIZACIÓN,FALSE,view,ec3
ec30201,3.02.01,APORTES DE SOCIOS O ACCIONISTAS PARA FUTURA CAPITALIZACIÓN,FALSE,equity,ec302
ec303,3.03.,PRIMA POR EMISIÓN PRIMARIA DE ACCIONES,FALSE,view,ec3
ec30301,3.03.01,PRIMA POR EMISIÓN PRIMARIA DE ACCIONES,FALSE,equity,ec303
ec304,3.04.,RESERVAS,FALSE,view,ec3
ec30401,3.04.01.,RESERVA LEGAL,FALSE,view,ec304
ec3040101,3.04.01.01,RESERVA LEGAL,FALSE,equity,ec30401
ec30402,3.04.02.,RESERVAS FACULTATIVA Y ESTATUTARIA,FALSE,view,ec304
ec3040201,3.04.02.01,RESERVAS FACULTATIVA Y ESTATUTARIA,FALSE,equity,ec30402
ec30403,3.04.03.,RESERVA DE CAPITAL,FALSE,view,ec304
ec3040301,3.04.03.01,RESERVA DE CAPITAL,FALSE,equity,ec30403
ec30404,3.04.04.,OTRAS RESERVAS,FALSE,view,ec304
ec3040401,3.04.04.01,OTRAS RESERVAS,FALSE,equity,ec30404
ec305,3.05.,OTROS RESULTADOS INTEGRALES,FALSE,view,ec3
ec30501,3.05.01.,SUPERAVIT DE ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA,FALSE,view,ec305
ec3050101,3.05.01.01,SUPERAVIT DE ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA,FALSE,equity,ec30501
ec30502,3.05.02.,"SUPERAVIT POR REVALUACIÓN DE PROPIEDADES, PLANTA Y EQUIPO",FALSE,view,ec305
ec3050201,3.05.02.01,"SUPERAVIT POR REVALUACIÓN DE PROPIEDADES, PLANTA Y EQUIPO",FALSE,equity,ec30502
ec30503,3.05.03.,SUPERAVIT POR REVALUACION DE ACTIVOS INTANGIBLES,FALSE,view,ec305
ec3050301,3.05.03.01,SUPERAVIT POR REVALUACION DE ACTIVOS INTANGIBLES,FALSE,equity,ec30503
ec30504,3.05.04.,OTROS SUPERAVIT POR REVALUACION,FALSE,view,ec305
ec3050401,3.05.04.01,OTROS SUPERAVIT POR REVALUACION,FALSE,equity,ec30504
ec306,3.06.,RESULTADOS ACUMULADOS,FALSE,view,ec3
ec30601,3.06.01.,GANANCIAS ACUMULADAS,FALSE,view,ec306
ec3060101,3.06.01.01,GANANCIAS ACUMULADAS,FALSE,equity,ec30601
ec30602,3.06.02.,PÉRDIDAS ACUMULADAS,FALSE,view,ec306
ec3060201,3.06.02.01,PÉRDIDAS ACUMULADAS,FALSE,equity,ec30602
ec30603,3.06.03.,RESULTADOS ACUMULADOS PROVENIENTES DE LA ADOPCION POR PRIMERA VEZ DE LAS NIIF,FALSE,view,ec306
ec3060301,3.06.03.01,RESULTADOS ACUMULADOS PROVENIENTES DE LA ADOPCION POR PRIMERA VEZ DE LAS NIIF,FALSE,equity,ec30603
ec307,3.07.,RESULTADOS DEL EJERCICIO,FALSE,view,ec3
ec30701,3.07.01.,GANANCIA NETA DEL PERIODO,FALSE,view,ec307
ec3070101,3.07.01.01,GANANCIA NETA DEL PERIODO,FALSE,equity,ec30701
ec30702,3.07.02.,PÉRDIDA NETA DEL PERIODO,FALSE,view,ec307
ec3070201,3.07.02.01,PÉRDIDA NETA DEL PERIODO,FALSE,equity,ec30702
ec4,4,INGRESOS,FALSE,view,ecpuc
ec401,4.01.,INGRESOS DE ACTIVIDADES ORDINARIAS,FALSE,view,ec4
ec40101,4.01.01.,VENTA DE BIENES,FALSE,view,ec401
ec4010101,4.01.01.01,VENTA DE BIENES 12%,FALSE,income,ec40101
ec4010102,4.01.01.02,VENTA DE BIENES 0%,FALSE,income,ec40101
ec40102,4.01.02.,PRESTACION DE SERVICIOS,FALSE,view,ec401
ec4010201,4.01.02.01,PRESTACION DE SERVICIOS,FALSE,income,ec40102
ec40103,4.01.03.,CONTRATOS DE CONSTRUCCION,FALSE,view,ec401
ec4010301,4.01.03.01,CONTRATOS DE CONSTRUCCION,FALSE,income,ec40103
ec40104,4.01.04.,SUBVENCIONES DEL GOBIERNO,FALSE,view,ec401
ec4010401,4.01.04.01,SUBVENCIONES DEL GOBIERNO,FALSE,income,ec40104
ec40105,4.01.05.,REGALÍAS,FALSE,view,ec401
ec4010501,4.01.05.01,REGALÍAS,FALSE,income,ec40105
ec40106,4.01.06.,INTERESES,FALSE,view,ec401
ec4010601,4.01.06.01,INTERESES,FALSE,income,ec40106
ec40107,4.01.07.,DIVIDENDOS,FALSE,view,ec401
ec4010701,4.01.07.01,DIVIDENDOS,FALSE,income,ec40107
ec40108,4.01.08.,OTROS INGRESOS DE ACTIVIDADES ORDINARIAS,FALSE,view,ec401
ec4010801,4.01.08.01,OTROS INGRESOS DE ACTIVIDADES ORDINARIAS,FALSE,income,ec40108
ec40109,4.01.09.,DESCUENTO EN VENTAS,FALSE,view,ec401
ec4010901,4.01.09.01,DESCUENTO EN VENTAS 12%,FALSE,income,ec40109
ec4010902,4.01.09.02,DESCUENTOS EN VENTAS 0%,FALSE,income,ec40109
